"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SAAL1",1.55795957182265e-10,-0.794486692947768,0.277,0.473,5.70213203287091e-06
"HMBS",1.56152595906385e-10,-0.493016215641046,0.202,0.373,5.71518501017369e-06
"PRC1-AS1",1.57140334644179e-10,-1.08711348828806,0.092,0.251,5.75133624797694e-06
"ABHD8",1.58152625855618e-10,-0.687540360313931,0.129,0.297,5.78838610631563e-06
"METTL23",1.58378697151808e-10,-0.375128580329119,0.272,0.474,5.79666031575618e-06
"KCNN4",1.58681684699513e-10,-1.10805998076248,0.207,0.386,5.80774966000218e-06
"SMOX",1.59093414688194e-10,2.41416250321253,0.241,0.105,5.82281897758791e-06
"CABLES1",1.59780401669555e-10,-0.109164155471828,0.487,0.692,5.84796270110571e-06
"TCAF1",1.59965050774929e-10,-0.266841431765754,0.437,0.627,5.8547208583624e-06
"TRAFD1",1.60709747834855e-10,-0.362330956769089,0.255,0.447,5.8819767707557e-06
"SNAPIN",1.61057286160254e-10,-1.34159247347049,0.204,0.375,5.89469667346529e-06
"CLEC16A",1.632366190439e-10,-0.211104470150422,0.667,0.859,5.97446025700673e-06
"PHF7",1.63263980487536e-10,-0.332262177873217,0.504,0.697,5.97546168584382e-06
"ZNF765",1.64045976603497e-10,0.344387925055363,0.331,0.542,6.00408274368798e-06
"TMA7",1.64447089380463e-10,-0.308273086348451,0.947,0.975,6.01876347132496e-06
"CERS4",1.66299151957944e-10,-0.53830964092944,0.272,0.44,6.08654896166073e-06
"TMEM67",1.66402120814019e-10,-0.482718294461791,0.196,0.378,6.09031762179311e-06
"NTNG2",1.71072663899907e-10,1.33668841232537,0.373,0.207,6.2612594987366e-06
"ASMTL",1.71549368088577e-10,-0.113081343517248,0.647,0.896,6.27870687204192e-06
"RPP38",1.71916696375028e-10,-0.435711971918652,0.23,0.42,6.29215108732602e-06
"SH3BP1",1.7253732325506e-10,-0.231429376534005,0.468,0.683,6.3148660311352e-06
"MED23",1.72995219913333e-10,-0.152079272630977,0.667,0.832,6.33162504882798e-06
"SV2B",1.74600874433727e-10,-0.537170337551217,0.062,0.207,6.39039200427441e-06
"KIF20B",1.74713336929214e-10,0.187229800835847,0.58,0.786,6.39450813160924e-06
"RP11-182J1.18",1.75218354779679e-10,-1.07732272459144,0.076,0.234,6.41299178493625e-06
"SGCE",1.76440411799363e-10,-1.65069650713617,0.084,0.238,6.45771907185668e-06
"NPIPA1",1.76509434906456e-10,0.155642945539947,0.557,0.772,6.46024531757629e-06
"RANBP6",1.76579261415207e-10,-0.314574495598519,0.375,0.583,6.46280096779657e-06
"FAM47E",1.77320499232188e-10,-3.19263326429491,0.078,0.226,6.48993027189807e-06
"ANKMY1",1.7778855641867e-10,-0.447107067015302,0.608,0.782,6.50706116492332e-06
"OARD1",1.7845230968729e-10,-0.491555931519896,0.409,0.594,6.53135453455482e-06
"PKN2-AS1",1.789031580676e-10,1.26248419228283,0.417,0.262,6.54785558527415e-06
"ACBD6",1.79864417159354e-10,-0.137231434230871,0.846,0.964,6.58303766803237e-06
"PEAK3",1.80284310600867e-10,-1.10138244655623,0.171,0.346,6.59840576799174e-06
"KIDINS220",1.80780669105735e-10,-0.132885049604082,0.734,0.888,6.61657248926991e-06
"BRAT1",1.82303045075847e-10,0.167673950768436,0.552,0.739,6.672291449776e-06
"LUCAT1",1.83587555098323e-10,3.72070612814113,0.289,0.146,6.71930451659861e-06
"CDK5",1.84643198491869e-10,-1.10211787320676,0.115,0.29,6.75794106480241e-06
"ZNF148",1.85315444943863e-10,-0.25208908267452,0.832,0.95,6.78254528494538e-06
"TTC39C",1.87507942542422e-10,-0.228932756967027,0.599,0.799,6.86279069705264e-06
"SIRT2",1.8808680317282e-10,0.261280856231857,0.406,0.604,6.88397699612523e-06
"TMEM147-AS1",1.90629209060139e-10,-1.64962048711767,0.174,0.352,6.97702905160109e-06
"MAN2B1",1.91080078746562e-10,-0.207955689188875,0.854,0.955,6.99353088212418e-06
"ARFGAP2",1.92451653500475e-10,-0.138492368078384,0.751,0.892,7.04373051811739e-06
"COA6",1.95522533240508e-10,-0.772832214653663,0.21,0.387,7.15612471660258e-06
"TMEM170A",1.98095706797363e-10,-0.598538221864876,0.409,0.584,7.25030286878349e-06
"SCARNA9",2.01389850931571e-10,1.27905764370622,0.734,0.656,7.37086854409551e-06
"AGA",2.01516474163686e-10,-0.219505061061964,0.221,0.407,7.37550295439089e-06
"COA8",2.03994905384538e-10,-0.84283990868405,0.289,0.463,7.46621353707408e-06
"ZNF428",2.0510307787124e-10,0.595793742438271,0.454,0.65,7.5067726500874e-06
"POU5F2",2.05181845623851e-10,-1.4318962920412,0.07,0.225,7.50965554983296e-06
"TMEM80",2.09074125528169e-10,-1.09841561910643,0.106,0.269,7.65211299433098e-06
"CSRP1",2.09350175557583e-10,-0.481775131498493,0.356,0.532,7.66221642540753e-06
"GANC",2.09918498605964e-10,-0.131897279109834,0.286,0.468,7.68301704897828e-06
"LRP11",2.10139850685667e-10,-0.597009754168772,0.143,0.321,7.69111853509542e-06
"DBT",2.1019229438268e-10,-0.833144545397482,0.227,0.412,7.69303797440608e-06
"RPS19",2.10777283875857e-10,-0.420815263440623,1,1,7.71444858985638e-06
"CHRFAM7A",2.11980011109227e-10,-0.231520653751876,0.51,0.733,7.75846840659771e-06
"SLC29A3",2.12533156488945e-10,-1.18941535416044,0.104,0.268,7.77871352749537e-06
"ASB14",2.12967907524864e-10,-0.352632355697058,0.087,0.251,7.79462541541003e-06
"LINC02245",2.13820961536254e-10,-0.69425877264877,0.347,0.557,7.82584719222688e-06
"GRHPR",2.14259303034782e-10,-0.187153133199308,0.681,0.83,7.84189049107302e-06
"SINHCAF",2.1456941114063e-10,-0.34852517946526,0.824,0.933,7.85324044774705e-06
"SPDYE1",2.14860522178644e-10,-1.94714118529737,0.078,0.231,7.86389511173836e-06
"ANAPC15",2.15360068433656e-10,-0.408907400401645,0.294,0.476,7.88217850467179e-06
"TSPAN31",2.16426074832341e-10,-0.831986975928742,0.162,0.337,7.92119433886367e-06
"MAP4K2",2.18953291061161e-10,-0.15228677757715,0.538,0.734,8.01369045283849e-06
"TMEM267",2.19177576187369e-10,0.114146694752176,0.339,0.546,8.0218992884577e-06
"SKP1",2.19907187272055e-10,-0.32937923895096,0.916,0.959,8.04860305415721e-06
"IBTK",2.23080861704287e-10,0.116146099612041,0.571,0.772,8.16475953837691e-06
"KCNMB1",2.2845000174944e-10,-0.462849766735089,0.059,0.204,8.36127006402951e-06
"POLA2",2.28988626274071e-10,-1.25262211747042,0.193,0.372,8.38098372163099e-06
"RPS12",2.29039883828471e-10,-0.418852481120345,1,1,8.38285974812203e-06
"UQCRHL",2.29074330637628e-10,0.273285837716582,0.286,0.494,8.38412050133719e-06
"ASNSD1",2.3127564242976e-10,-0.596737456503289,0.199,0.38,8.4646885129292e-06
"LINC01515",2.31649916278625e-10,-0.692630675223896,0.367,0.562,8.47838693579769e-06
"COPS7B",2.32852553498541e-10,-0.390251853881994,0.261,0.457,8.52240345804661e-06
"SUMO3",2.34389187511115e-10,-0.374602470323922,0.695,0.852,8.5786442629068e-06
"L3MBTL4",2.37472571459543e-10,-1.77516767439449,0.28,0.441,8.69149611541926e-06
"SRSF11",2.39138255346906e-10,0.548510474692166,0.997,1,8.75246014569677e-06
"AC114730.3",2.41088708317612e-10,1.93895769973259,0.081,0.012,8.82384672442459e-06
"PCCA-DT",2.4276106084949e-10,-2.3514971780239,0.098,0.25,8.88505482709132e-06
"TFR2",2.4330384667412e-10,-1.20045413563962,0.199,0.363,8.90492078827277e-06
"MAD1L1",2.45470668493435e-10,-0.336510585046621,0.546,0.732,8.98422646685972e-06
"MLF2",2.46216094429087e-10,-0.277345945556482,0.711,0.841,9.01150905610457e-06
"LPIN2",2.46430611549861e-10,0.104574979204807,0.49,0.729,9.01936038272491e-06
"NAT9",2.47538739200756e-10,-0.184130474254553,0.473,0.661,9.05991785474766e-06
"STARD4-AS1",2.48819582092659e-10,-1.2645733382865,0.126,0.286,9.10679670459133e-06
"APTX",2.50585543090805e-10,-0.335690278430755,0.479,0.662,9.17143087712347e-06
"RP11-192H23.6",2.51610884088394e-10,-1.65569642554082,0.031,0.161,9.20895835763521e-06
"RP5-991G20.1",2.52236215726369e-10,-1.17504589192498,0.19,0.369,9.23184549558512e-06
"PRPS1",2.5300023704921e-10,-0.626243269710367,0.437,0.613,9.25980867600107e-06
"CNP",2.54689535863688e-10,0.131352347219459,0.238,0.423,9.32163701261097e-06
"VARS2",2.57010296734962e-10,-0.243070116316221,0.308,0.513,9.40657686049961e-06
"TOMM7",2.57107766913885e-10,-0.331468779369091,0.829,0.922,9.4101442690482e-06
"TOR2A",2.5743223176713e-10,-0.993516353829746,0.249,0.427,9.42201968267697e-06
"ARFIP1",2.58570849373356e-10,-0.362643268546475,0.21,0.396,9.46369308706483e-06
"VPS16",2.59869652844008e-10,0.215915901844393,0.431,0.637,9.51122929409068e-06
"NDUFB1",2.60220962617799e-10,-0.484943888659815,0.692,0.843,9.52408723181144e-06
"ZNF664",2.61044416532173e-10,-0.412446707015291,0.263,0.446,9.55422564507753e-06
"ALOX5",2.63626857502831e-10,-3.04471666580857,0.073,0.223,9.6487429846036e-06
"STAC3",2.63771880442142e-10,-0.937848772926189,0.154,0.34,9.6540508241824e-06
