"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KBTBD12",0.000129490243402502,3.55763231535032,0.222,0.01,1
"LINC02541",0.000129490243402502,3.5873260605346,0.222,0.01,1
"RP11-412K20.1",0.000129490243402502,3.62991249452035,0.222,0.01,1
"CABP5",0.000129490243402502,3.5633999004218,0.222,0.01,1
"RP4-760C5.1",0.000129490243402502,3.82804561036155,0.222,0.01,1
"MT-ND2",0.000136484153399264,-0.859702270940205,1,1,1
"NUDC",0.000148557294653761,-1.73777134353365,0.778,0.99,1
"MALAT1",0.0001485756882596,0.920430882519171,1,1,1
"FYB2",0.000150932102703431,3.55951438104318,0.222,0.01,1
"RP4-681L3.3",0.000150932102703431,3.55957201181468,0.222,0.01,1
"RP11-431M7.3",0.000150932102703431,3.55010838272333,0.222,0.01,1
"TRPC3",0.000150932102703431,3.76071579437249,0.222,0.01,1
"LINC02118",0.000150932102703431,3.60014783083134,0.222,0.01,1
"CTC-347C20.1",0.000150932102703431,5.33101656658855,0.222,0.01,1
"AC079742.4",0.000150932102703431,3.55948746253158,0.222,0.01,1
"RP11-165H23.1",0.000150932102703431,3.55398151160481,0.222,0.01,1
"RP11-301N24.6",0.000150932102703431,3.59710775497717,0.222,0.01,1
"IGSF22",0.000150932102703431,3.56981018751356,0.222,0.01,1
"PANX3",0.000150932102703431,3.61993210902625,0.222,0.01,1
"FGF23",0.000150932102703431,3.55935109073331,0.222,0.01,1
"RP11-96D1.7",0.000150932102703431,4.05173084559209,0.222,0.01,1
"CTD-2579N5.3",0.000150932102703431,3.56269777318562,0.222,0.01,1
"ACR",0.000150932102703431,3.57532894440636,0.222,0.01,1
"RP11-434J24.4",0.000150932102703431,3.55934658303081,0.222,0.01,1
"EIF2AK3",0.000153632687354346,1.68397745366535,1,0.886,1
"CTD-2035E11.5",0.000156905208362778,2.7335896982807,0.444,0.057,1
"DPYSL2",0.000157429050899829,-1.87273946313125,0.111,0.781,1
"NT5C",0.000158456141018765,-2.29383111008711,0.333,0.838,1
"INTS11",0.000164279432262993,-1.77294265317648,0.667,0.933,1
"FRMD4B",0.000168515531966358,-2.42885432744605,0.556,0.99,1
"ARHGAP25",0.000168515531966358,-2.4033457758657,0.778,0.971,1
"NEAT1",0.000168618251813708,2.6814595936774,1,0.99,1
"INPP4B",0.000169827928775263,-2.31469359139877,0.222,0.933,1
"EGLN1",0.000171366356686352,3.5639248169595,0.778,0.219,1
"CELA3A",0.000175684771443028,3.54131977088027,0.222,0.01,1
"PCSK9",0.000175684771443028,3.4053622274824,0.222,0.01,1
"HSD11B1-AS1",0.000175684771443028,2.89507330087042,0.222,0.01,1
"CREG2",0.000175684771443028,3.54770716364509,0.222,0.01,1
"KLF7-IT1",0.000175684771443028,3.49406583653606,0.222,0.01,1
"H2BC7",0.000175684771443028,3.53419172989159,0.222,0.01,1
"LINC00326",0.000175684771443028,3.54483369528563,0.222,0.01,1
