,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1581,MT-CO1,2859.80695,0.922010004,0.271512687,3.395826595,0.000684217,0.009425194
297,BBX,175.5407499,0.919788197,0.298458618,3.081794733,0.002057567,0.020604636
1111,SERF2,148.1467144,0.914794817,0.197204674,4.638809012,3.50423E-06,0.000174253
257,SATB1,66.61027605,0.911027562,0.32158624,2.832918352,0.004612517,0.036850286
848,PHF21A,118.740975,0.908644775,0.317703258,2.860042354,0.004235844,0.034726253
582,TCP1,56.41360734,0.907603496,0.327282375,2.773151151,0.005551633,0.042223632
520,LST1,37.57789517,0.906557216,0.336626982,2.693061655,0.007079918,0.049563892
780,ADK,398.6123972,0.906057085,0.214235285,4.229261688,2.34459E-05,0.000732372
1482,ERG,124.0342472,0.905391023,0.318229879,2.845084901,0.004439959,0.035843097
174,PCBP1,41.70232004,0.902455307,0.305454981,2.95446257,0.003132141,0.0278527
1086,YY1,66.40483721,0.888243832,0.286001403,3.105732434,0.001898084,0.019441812
44,ATP6V0B,38.34421447,0.883625929,0.282183048,3.131392677,0.001739794,0.018461791
24,HMGN2,50.63082581,0.883541146,0.290982112,3.036410523,0.002394132,0.023027766
1483,ETS2,115.4188319,0.876580313,0.288689044,3.036416968,0.00239408,0.023027766
202,ARHGAP15,775.1686289,0.857675063,0.185402151,4.626025407,3.7275E-06,0.000181551
1131,IREB2,91.20773405,0.849046603,0.287282097,2.955445571,0.003122178,0.027834765
708,FAM120A,96.59648458,0.844869975,0.29321506,2.881400347,0.003959124,0.033084195
1270,MSI2,1131.170305,0.844305059,0.194737915,4.335596685,1.45365E-05,0.000519986
71,VAV3,664.1142562,0.841268814,0.186768189,4.504347429,6.65772E-06,0.000285048
1400,HNRNPL,63.69463104,0.834079344,0.240981444,3.461176633,0.00053782,0.007920165
961,PTGES3,69.56123935,0.833048326,0.289507362,2.877468541,0.004008799,0.033398625
59,SERBP1,69.49511723,0.82635068,0.272713702,3.030103269,0.002444701,0.023431075
506,RIPOR2,249.7696386,0.823480379,0.272171378,3.025595074,0.002481444,0.023680491
1282,SNHG25,20.34297069,0.811901767,0.252107567,3.22045775,0.001279861,0.014661543
448,DHFR,80.19461098,0.809764189,0.228061987,3.550632,0.000384307,0.006239509
1580,MT-ND1,2730.597732,0.801940244,0.226025482,3.548008107,0.000388156,0.006256199
319,MBNL1,393.6233593,0.801225916,0.206798197,3.874433764,0.000106873,0.002337502
831,EIF3F,62.40052325,0.800833084,0.288986282,2.771180278,0.005585349,0.042337772
170,XPO1,191.7401238,0.794055962,0.270423757,2.936339505,0.003321106,0.029043965
534,HMGA1,35.61386519,0.79358562,0.256064383,3.0991644,0.001940673,0.019761362
886,RSF1,175.2999256,0.783254427,0.255784909,3.062160429,0.002197456,0.021679354
1079,SPTLC2,236.7196227,0.782328392,0.22235569,3.518364611,0.000434215,0.006810486
1586,MT-CYB,1984.059785,0.771699439,0.268006688,2.879403661,0.00398428,0.03321931
751,CELF2,586.8435604,0.770806308,0.189266063,4.07260707,4.64898E-05,0.001227442
1533,SH3KBP1,194.9218783,0.763196615,0.264726013,2.882967972,0.003939475,0.032944825
936,LDHB,93.26443823,0.763077833,0.26708901,2.857016968,0.00427643,0.034919978
1292,SRSF2,55.59244816,0.747617877,0.252283321,2.963405876,0.003042551,0.027429957
1493,MIF,55.17386646,0.742908493,0.197806344,3.755736442,0.000172833,0.003327326
549,KCNQ5,737.2345844,0.687705444,0.225172851,3.054122374,0.0022572,0.022150521
339,EIF4A2,85.62402789,0.685628237,0.225166667,3.044981063,0.00232695,0.02265456
1584,MT-ND4,3936.313722,0.68096862,0.239434843,2.844066516,0.004454175,0.035900974
986,GNPTAB,263.0604832,0.672965657,0.245839321,2.737420742,0.006192304,0.045354332
277,GPX1,102.7658804,0.669900813,0.238139899,2.81305575,0.004907314,0.03845739
372,HNRNPD,146.8440164,0.659448623,0.213093039,3.094651181,0.001970445,0.019957059
868,CFL1,77.73116874,0.630289348,0.18942703,3.327346414,0.000876773,0.011252936
1213,PFN1,56.77383589,0.609776788,0.195731017,3.1153815,0.001837071,0.019106777
602,HNRNPA2B1,178.7124998,0.607829167,0.183830671,3.306462219,0.000944821,0.011772044
230,ARPC2,303.9072922,0.571967252,0.207487732,2.756631663,0.00584001,0.043579991
8,ENO1,212.7860025,0.544395642,0.176718182,3.080586484,0.002065933,0.020638862
622,CDK6,884.4169073,0.540309435,0.167646145,3.222915957,0.001268928,0.014566398
542,HSP90AB1,316.2286395,0.519369627,0.166117713,3.126515641,0.001768911,0.018624453
1402,RPS16,316.5904237,0.507149905,0.1632772,3.106066896,0.001895938,0.019441812
267,RPSA,419.4308909,0.491626901,0.171561985,2.865593458,0.004162284,0.034316406
1347,RPL36,118.4875624,-0.386649404,0.119822189,-3.226859786,0.001251568,0.014426855
1352,RPS28,334.1904992,-0.427161281,0.147228973,-2.901339818,0.003715707,0.031597756
253,RPL32,562.9296798,-0.438828093,0.144044526,-3.046475321,0.002315415,0.02256207
344,RPL35A,382.8021848,-0.463254652,0.134356409,-3.447953504,0.000564851,0.00817707
659,RPS20,376.3777383,-0.478216445,0.174848303,-2.735036243,0.006237341,0.045570577
1112,B2M,267.5161103,-0.511995334,0.188683145,-2.71351918,0.006657271,0.047688942
1287,RPL38,256.0592032,-0.523130776,0.114755895,-4.558639696,5.1486E-06,0.00023495
401,RPS3A,596.4359842,-0.533539714,0.125047997,-4.266679406,1.98404E-05,0.000652849
645,ESYT2,466.1508104,-0.536101611,0.193807176,-2.766159753,0.005672074,0.04271347
245,LRRFIP1,543.0485793,-0.544639901,0.183843556,-2.962518312,0.003051337,0.027464506
1344,EEF2,107.4826144,-0.546408152,0.153751215,-3.553846064,0.000379641,0.00617279
782,RPS24,486.2651182,-0.5508619,0.154783424,-3.558920498,0.000372382,0.006088114
386,RPL34,710.0790087,-0.569125287,0.127499363,-4.463750055,8.05375E-06,0.000330771
974,NAP1L1,307.1457543,-0.572131489,0.1546562,-3.699376348,0.00021613,0.0040078
187,RPL31,707.9750237,-0.576684777,0.146497514,-3.936481658,8.26849E-05,0.001926246
632,KMT2E,611.0979991,-0.58871108,0.218459005,-2.694835493,0.007042339,0.049394369
427,RPL37,419.8001028,-0.597722289,0.111703314,-5.350980798,8.74788E-08,8.36252E-06
53,EPS15,256.3848151,-0.624105417,0.228145661,-2.735556809,0.006227484,0.045551824
701,ANXA1,199.1130142,-0.626202725,0.216744672,-2.889126264,0.003863139,0.032477901
1265,SPAG9,328.6098769,-0.668432991,0.248232648,-2.692768237,0.007086151,0.049576231
255,ANKRD28,484.2933057,-0.675820382,0.223557907,-3.023021608,0.002502644,0.023780477
115,MIR181A1HG,567.8604193,-0.677490843,0.217693193,-3.112136098,0.001857388,0.01915961
3,GNB1,419.0267138,-0.685021483,0.205314353,-3.336451992,0.000848551,0.01099395
1163,RSL1D1,81.41262083,-0.757765984,0.257421664,-2.943676033,0.003243393,0.028612559
382,NFKB1,384.8900412,-0.768052595,0.248298457,-3.093263665,0.001979682,0.020021919
872,GRK2,40.58783198,-0.770617483,0.279077066,-2.761307099,0.005757051,0.043186357
1302,THOC1,145.5737203,-0.780343966,0.282616591,-2.761139973,0.005759998,0.043186357
120,MAPKAPK2,100.9587304,-0.783031013,0.289732373,-2.70260104,0.006879927,0.048748569
1541,DDX3X,112.4936458,-0.791167863,0.267438144,-2.958320949,0.003093199,0.02764154
264,CLASP2,244.7263297,-0.79581294,0.291316591,-2.731780349,0.006299312,0.045874633
984,CDK17,206.20367,-0.799501477,0.269832938,-2.962949899,0.003047062,0.027448307
1015,LATS2,146.6559036,-0.810735854,0.267007177,-3.036382258,0.002394356,0.023027766
84,TXNIP,109.9526689,-0.821821984,0.272634845,-3.014368843,0.002575145,0.024302796
1523,CD99,135.9965866,-0.82842522,0.292839359,-2.82894083,0.004670233,0.037204179
1293,USP36,127.2952393,-0.841861394,0.302053371,-2.787127951,0.005317748,0.040836915
644,DNAJB6,358.2373302,-0.84446787,0.251617947,-3.356151175,0.000790354,0.010433608
663,SNHG6,72.44204185,-0.847232107,0.224068898,-3.781123188,0.000156122,0.003091502
333,FXR1,137.0458899,-0.850261849,0.26768532,-3.176348446,0.001491417,0.016505312
1057,FBXO34,187.0585407,-0.853650909,0.300281379,-2.842836643,0.004471398,0.035956008
637,UBE2H,145.497611,-0.865859297,0.262037757,-3.304330292,0.000952036,0.011808867
363,YTHDC1,169.7190966,-0.876600502,0.274310376,-3.195652004,0.001395153,0.015642921
1110,PDIA3,157.8339604,-0.884695544,0.29020904,-3.048476864,0.002300046,0.022451772
839,PSMA1,113.576079,-0.88952274,0.300339745,-2.961721703,0.003059242,0.027513325
1061,PPM1A,94.63208559,-0.891903011,0.316326246,-2.819566895,0.004808851,0.037927362
1289,H3-3B,640.5314632,-0.895862252,0.160350488,-5.586900693,2.31158E-08,2.67011E-06
57,JAK1,103.5713562,-0.90147004,0.286094266,-3.15095459,0.001627378,0.017571561
189,RANBP2,131.8264426,-0.903977754,0.275168146,-3.285183144,0.001019161,0.012310977
1340,DOT1L,58.62133835,-0.90409057,0.313945221,-2.87977172,0.003979632,0.033205523
23,SH3BGRL3,147.993877,-0.908222907,0.227282332,-3.996011912,6.44185E-05,0.001612498
1536,SAT1,115.6263138,-0.909115675,0.321223286,-2.830167411,0.004652365,0.037088483
169,REL,205.6927882,-0.910126817,0.273676795,-3.325553478,0.000882432,0.011303293
