Subset,Detail
LMPP_MPP_Progenitors,PES1
LMPP_MPP_Progenitors,APOL3
LMPP_MPP_Progenitors,CD99
LMPP_MPP_Progenitors,SYAP1
LMPP_MPP_Progenitors,SAT1
LMPP_MPP_Progenitors,CXorf38
LMPP_MPP_Progenitors,SLC38A5
LMPP_MPP_Progenitors,ZC3H12B
LMPP_MPP_Progenitors,FHL1
LMPP_MPP_Progenitors,EMD
GMP_MPP_Progenitors,ZBTB8OS
GMP_MPP_Progenitors,CD244
GMP_MPP_Progenitors,NSL1
GMP_MPP_Progenitors,SLC5A6
GMP_MPP_Progenitors,SHISA5
GMP_MPP_Progenitors,SPCS1
GMP_MPP_Progenitors,EEF1E1
GMP_MPP_Progenitors,GRB10
GMP_MPP_Progenitors,MAGI2
GMP_MPP_Progenitors,RMDN1
GMP_MPP_Progenitors,HPS1
GMP_MPP_Progenitors,CACNA2D4
GMP_MPP_Progenitors,TAFA2
GMP_MPP_Progenitors,VPS29
GMP_MPP_Progenitors,RAB34
GMP_MPP_Progenitors,TMEM147-AS1
GMP_MPP_Progenitors,HCK
MPP_Progenitors,CLCN6
MPP_Progenitors,PINK1-AS
MPP_Progenitors,PPP1R8
MPP_Progenitors,SNHG12
MPP_Progenitors,ZMPSTE24
MPP_Progenitors,DR1
MPP_Progenitors,VAV3
MPP_Progenitors,RP11-337C18.10
MPP_Progenitors,ACP6
MPP_Progenitors,SYT11
MPP_Progenitors,KLHL12
MPP_Progenitors,RP11-384C4.7
MPP_Progenitors,MRPL55
MPP_Progenitors,MBOAT2
MPP_Progenitors,NOL10
MPP_Progenitors,IFT172
MPP_Progenitors,CLHC1
MPP_Progenitors,DUSP2
MPP_Progenitors,SLC25A12
MPP_Progenitors,SCRN3
MPP_Progenitors,ASNSD1
MPP_Progenitors,STAT4
MPP_Progenitors,ARPC2
MPP_Progenitors,CAB39
MPP_Progenitors,ARMC9
MPP_Progenitors,EIF1B
MPP_Progenitors,SUCLG2
MPP_Progenitors,RIOX2
MPP_Progenitors,DTX3L
MPP_Progenitors,COPG1
MPP_Progenitors,TMCC1-DT
MPP_Progenitors,P2RY1
MPP_Progenitors,TRIM59
MPP_Progenitors,DVL3
MPP_Progenitors,ZCCHC4
MPP_Progenitors,HNRNPD
MPP_Progenitors,ELOVL6
MPP_Progenitors,FAM241A
MPP_Progenitors,LINC02615
MPP_Progenitors,TMEM184C
MPP_Progenitors,DDX60
MPP_Progenitors,MTRR
MPP_Progenitors,GLRX
MPP_Progenitors,LYRM7
MPP_Progenitors,CDKN2AIPNL
MPP_Progenitors,RAB24
MPP_Progenitors,NHP2
MPP_Progenitors,NOL7
MPP_Progenitors,RIPOR2
MPP_Progenitors,CARMIL1
MPP_Progenitors,DAXX
MPP_Progenitors,C6orf89
MPP_Progenitors,MTO1
MPP_Progenitors,UFL1
MPP_Progenitors,ARMC2
MPP_Progenitors,TCP1
MPP_Progenitors,TRIM4
MPP_Progenitors,TBXAS1
MPP_Progenitors,RP11-531A24.5
MPP_Progenitors,E2F5
MPP_Progenitors,POP1
MPP_Progenitors,NOL6
