"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ARHGDIB",6.97153376030319e-09,-1.21482021812176,0.912,1,0.000255158135627097
"DUSP10",6.97279055667406e-09,1.73066504575746,0.956,0.855,0.00025520413437427
"SLF1",7.13185549062362e-09,-2.08739484316396,0.239,0.645,0.000261025910956825
"H2BC8",7.14395818101444e-09,4.68611229493383,0.478,0.079,0.000261468869425128
"MCM4",7.16343967030462e-09,-1.23956717050058,0.398,0.724,0.000262181891933149
"RABGEF1",7.56238998327819e-09,1.51407039193672,0.956,0.947,0.000276783473387982
"SOCS2",8.00910704660382e-09,-3.35187209517973,0.097,0.447,0.0002931333179057
"PRDM16",8.06408028997926e-09,-2.00186926883316,0.265,0.671,0.000295145338613241
"ADK",8.47676877974138e-09,-0.800376118265264,0.956,1,0.000310249737338534
"LMNB1",8.62495177988787e-09,-1.16602193930364,0.327,0.737,0.000315673235143896
"PSMD4",8.63794282997329e-09,-1.90155720258718,0.381,0.737,0.000316148707577022
"CFL1",8.6847369736998e-09,-0.979580783329134,0.973,0.987,0.000317861373237413
"MIF",8.69594591812565e-09,-1.0262943460247,0.876,1,0.000318271620603399
"ACTR2",8.87757192815979e-09,-0.831594906702279,0.867,0.987,0.000324919132570648
"AP000331.1",8.947051509934e-09,-1.98473890212978,0.292,0.684,0.000327462085263584
"SP140L",8.97158152013936e-09,-1.27231368074962,0.336,0.711,0.000328359883637101
"MRTO4",9.07144925357683e-09,-0.298115742458271,0.363,0.789,0.000332015042680912
"PPP1CC",9.12963204976965e-09,-1.5835505142142,0.487,0.816,0.000334144533021569
"PDSS1",9.7076880095805e-09,-1.35955708221904,0.195,0.605,0.000355301381150646
"TRAP1",9.80111085201773e-09,-1.86358387204217,0.23,0.618,0.000358720657183849
"JPT2",9.94394489110744e-09,-1.97877350505216,0.159,0.553,0.000363948383014532
"ATG3",1.01091666216577e-08,-1.59735243029377,0.522,0.803,0.000369995498352671
"ACAT1",1.01651787855658e-08,-0.90881198576746,0.23,0.618,0.000372045543551707
"CYTOR",1.0394336798461e-08,-0.998217207805636,0.664,0.908,0.000380432726823673
"HLA-DRB1",1.04843960447123e-08,-1.85839446972428,0.628,0.842,0.000383728895236471
"TMEM65",1.06765405198812e-08,-0.76175395401426,0.611,0.921,0.000390761383027653
"MEF2C",1.06773975849928e-08,-1.21644044794655,0.575,0.895,0.000390792751610738
"MAN1A1",1.08139417665075e-08,2.52314355046274,0.832,0.579,0.000395790268654176
"MDH1",1.09415670485056e-08,-1.958379589263,0.301,0.684,0.000400461353975304
"FABP5",1.09708549837953e-08,-1.80795920976725,0.46,0.776,0.000401533292406909
"RANBP1",1.11927110061871e-08,-1.28954248347086,0.558,0.895,0.000409653222826446
