"Cell","mapping_error_score","mapping_error_QC","UMAP1_projected","UMAP2_projected","predicted_CellType","predicted_CellType_prob","predicted_Pseudotime"
"S2PL01-23C-NOC156",7.21748246411319,"Pass",3.32235980033875,2.79379606246948,"MPP-MkEry",0.433333333333333,0.06290844
"S2PL01-23E-NOC156",8.63318652537769,"Pass",4.16011142730713,3.2033486366272,"MPP-MkEry",0.9,0.0009945328
"S2PL01-23G-NOC156",5.72724832475624,"Pass",2.88185882568359,3.20166850090027,"HSC",0.433333333333333,0.0071216715
"S2PL01-23I-NOC156",5.78394589681466,"Pass",3.08342719078064,1.79153275489807,"LMPP",0.6,0.2957763
"S2PL01-23K-NOC156",7.89860557200927,"Pass",2.45915412902832,3.84892868995667,"HSC",0.7,0.0199986079845108
"S2PL01-23M-NOC156",8.31724441790782,"Pass",1.74250292778015,3.92468786239624,"HSC",1,0.0017508595
"S2PL01-01B-516-REL",11.6680986001518,"Pass",3.82779550552368,7.74294900894165,"BFU-E",0.966666666666667,8.321724
"S2PL01-01D-516-REL",10.2286260813927,"Pass",2.35416603088379,2.65203499794006,"MPP-MyLy",0.533333333333333,0.1547504
"S2PL01-01F-516-REL",9.23685173236701,"Pass",2.42367815971375,2.58204913139343,"HSC",0.566666666666667,0.084844177693146
"S2PL01-01H-516-REL",9.97075108957029,"Pass",3.24571442604065,2.90548706054688,"MPP-MyLy",0.566666666666667,0.01221046
"S2PL01-01J-516-REL",8.87035159592052,"Pass",2.63268971443176,2.31716775894165,"MPP-MyLy",0.766666666666667,0.0004005836
"S2PL01-01L-516-REL",7.93779557828402,"Pass",6.37946891784668,0.873942196369171,"Cycling Progenitor",1,5.281734
"S2PL01-01N-516-REL",11.11104886017,"Pass",1.66603720188141,2.916916847229,"HSC",0.966666666666667,0.037447345
"S2PL01-01P-516-REL",6.90634648161557,"Pass",3.3012809753418,3.3865692615509,"MPP-MkEry",0.766666666666667,0.068579645
"S2PL01-03B-516-REL",9.87475090028578,"Pass",3.63435888290405,2.90632009506226,"MPP-MkEry",0.7,0.0118232698562407
"S2PL01-03D-516-REL",8.30019836460992,"Pass",3.91205811500549,2.78286266326904,"MPP-MkEry",0.766666666666667,0.3565203
"S2PL01-03F-516-REL",11.5894643635503,"Pass",4.19106483459473,2.61556124687195,"Cycling Progenitor",0.6,2.639935e-07
"S2PL01-03H-516-REL",7.75915117629491,"Pass",3.97866225242615,2.18817520141602,"LMPP",0.633333333333333,3.062799e-07
"S2PL01-03J-516-REL",8.10695009386781,"Pass",3.84317660331726,3.91722321510315,"MPP-MkEry",0.774193548387097,0.7519067
"S2PL01-03L-516-REL",6.67328821607492,"Pass",3.14405345916748,3.49680399894714,"MPP-MkEry",0.533333333333333,0.01363224
"S2PL01-03N-516-REL",12.7664816778593,"Pass",2.67315053939819,3.44356346130371,"HSC",0.67741935483871,0.008245158
